Artificer Spells,Bard Spells,Cleric Spells,Druid Spells,Paladin Spells,Ranger Spells,Sorcerer Spells,Warlock Spells,Wizard Spells
Acid Splash,Blade Ward,Decompose (HB),Control Flames,Bless,Absorb Elements,Acid Splash,Blade Ward,Acid Splash
Booming Blade,Dancing Lights,Guidance,Create Bonfire,Ceremony,Alarm,Blade Ward,Booming Blade,Blade Ward
Create Bonfire,Friends,Hand of Radiance (UA),Druidcraft,Command,Animal Friendship,Booming Blade,Chill Touch,Booming Blade
Dancing Lights,Light,Light,Frostbite,Compelled Duel,Beast Bond,Chill Touch,Create Bonfire,Chill Touch
Fire Bolt,Mage Hand,Mending,Guidance,Cure Wounds,Cure Wounds,Control Flames,Eldritch Blast,Control Flames
Frostbite,Mending,Resistance,Gust,Detect Evil and Good,Detect Magic,Create Bonfire,Friends,Create Bonfire
Green-Flame Blade,Message,Sacred Flame,Infestation,Detect Magic,Detect Poison and Disease,Dancing Lights,Frostbite,Dancing Lights
Guidance,Minor Illusion,Spare the Dying,Magic Stone,Detect Poison and Disease,Ensnaring Strike,Fire Bolt,Green-Flame Blade,Encode Thoughts
Light,Prestidigitation,Thaumaturgy,Mending,Divine Favor,Entangle,Friends,Infestation,Fire Bolt
Lightning Lure,Thunderclap,Toll the Dead,Mold Earth,Heroism,Fog Cloud,Frostbite,Lightning Lure,Friends
Mage Hand,True Strike,Virtue (UA),Poison Spray,Protection from Evil and Good,Goodberry,Green-Flame Blade,Mage Hand,Frostbite
Magic Stone,Vicious Mockery,Word of Radiance,Primal Savagery,Purify Food and Drink,Hail of Thorns,Gust,Magic Stone,Green-Flame Blade
Mending,Animal Friendship,Bane,Produce Flame,Searing Smite,Hunter's Mark,Infestation,Mind Sliver,Gust
Message,Bane,Bless,Resistance,Shield of Faith,Jump,Light,Minor Illusion,Infestation
Poison Spray,Charm Person,Ceremony,Shape Water,Thunderous Smite,Longstrider,Lightning Lure,On/Off (UA),Light
Prestidigitation,Color Spray,Command,Shillelagh,Wrathful Smite,Searing Smite,Mage Hand,Poison Spray,Lightning Lure
Ray of Frost,Command,Create or Destroy Water,Thorn Whip,Aid,Snare,Mending,Prestidigitation,Mage Hand
Resistance,Comprehend Languages,Cure Wounds,Thunderclap,Branding Smite,Speak with Animals,Message,Sword Burst,Mending
Shocking Grasp,Cure Wounds,Detect Evil and Good,Absorb Elements,Find Steed,Sudden Awakening (UA),Mind Sliver,Thunderclap,Message
Spare the Dying,Detect Magic,Detect Magic,Animal Friendship,Find Vehicle (UA),Wild Cunning (UA),Minor Illusion,Toll the Dead,Mind Sliver
Sword Burst,Disguise Self,Detect Poison and Disease,Beast Bond,Gentle Repose,Zephyr Strike,Mold Earth,True Strike,Minor Illusion
Thorn Whip,Dissonant Whispers,Guiding Bolt,Charm Person,Lesser Restoration,Aid,On/Off (UA),Armor of Agathys,Mold Earth
Thunderclap,Distort Value,Guiding Hand (UA),Create or Destroy Water,Locate Object,Air Bubble,Poison Spray,Arms of Hadar,On/Off (UA)
Absorb Elements,Earth Tremor,Healing Word,Cure Wounds,Magic Weapon,Animal Messenger,Prestidigitation,Cause Fear,Poison Spray
Alarm,Faerie Fire,Inflict Wounds,Detect Magic,Prayer of Healing,Barkskin,Ray of Frost,Charm Person,Prestidigitation
Arcane Weapon (UA),Feather Fall,Protection from Evil and Good,Detect Poison and Disease,Protection from Poison,Beast Sense,Shape Water,Comprehend Languages,Ray of Frost
Catapult,Guiding Hand (UA),Purify Food and Drink,Earth Tremor,Warding Bond,Cordon of Arrows,Shocking Grasp,Distort Value,Sapping Sting
Cure Wounds,Healing Word,Sanctuary,Entangle,Zone of Truth,Darkvision,Sword Burst,Expeditious Retreat,Shape Water
Detect Magic,Heroism,Shield of Faith,Faerie Fire,Aura of Vitality,Enhance Ability,Thunderclap,Healing Elixir (UA),Shocking Grasp
Disguise Self,Identify,Aid,Fog Cloud,Blinding Smite,Find Traps,True Strike,Hellish Rebuke,Sword Burst
Expeditious Retreat,Illusory Script,Augury,Goodberry,Create Food and Water,Gust of Wind,Absorb Elements,Hex,Thunderclap
Faerie Fire,Longstrider,Blindness/Deafness,Guiding Hand (UA),Crusader's Mantle,Healing Spirit,Acid Stream (UA),Id Insinuation (UA),Toll the Dead
False Life,Puppet (UA),Borrowed Knowledge,Healing Word,Daylight,Lesser Restoration,Burning Hands,Illusory Script,True Strike
Feather Fall,Sense Emotion (UA),Calm Emotions,Ice Knife,Dispel Magic,Locate Animals or Plants,Catapult,Infallible Relay (UA),Absorb Elements
Grease,Silent Image,Continual Flame,Jump,Elemental Weapon,Locate Object,Chaos Bolt,Protection from Evil and Good,Acid Stream (UA)
Identify,Silvery Barbs,Enhance Ability,Longstrider,Magic Circle,Magic Weapon,Charm Person,Puppet (UA),Alarm
Jump,Sleep,Find Traps,Protection from Evil and Good,Remove Curse,Pass Without Trace,Chromatic Orb,Remote Access (UA),Burning Hands
Longstrider,Speak with Animals,Gentle Repose,Purify Food and Drink,Revivify,Protection from Poison,Color Spray,Sense Emotion (UA),Catapult
